"汉字","读音","第二读音","第三读音","第四读音","ID"
"讥","ji",,,,1133
"姬","ji",,,,1135
"绩","ji",,,,1136
"缉","ji","qi",,,1137
"吉","ji",,,,1138
"棘","ji",,,,1140
"辑","ji",,,,1141
"籍","ji",,,,1142
"集","ji",,,,1143
"及","ji",,,,1144
"疾","ji",,,,1146
"汲","ji",,,,1147
"即","ji",,,,1148
"嫉","ji",,,,1149
"级","ji",,,,1150
"几","ji",,,,1152
"脊","ji",,,,1153
"己","ji",,,,1154
"蓟","ji",,,,1155
"技","ji",,,,1156
"季","ji",,,,1158
"伎","ji",,,,1159
"祭","ji",,,,1160
"剂","ji",,,,1161
"济","ji",,,,1163
"寄","ji",,,,1164
"寂","ji",,,,1165
"计","ji",,,,1166
"记","ji",,,,1167
"忌","ji",,,,1169
"际","ji",,,,1170
"妓","ji",,,,1171
"继","ji",,,,1172
"纪","ji",,,,1173
"枷","jia",,,,1175
"夹","jia","ga","qia",,1176
"佳","jia",,,,1177
"家","jia",,,,1178
"加","jia",,,,1179
"颊","jia",,,,1181
"贾","jia","gu",,,1182
"甲","jia",,,,1183
"钾","jia",,,,1184
"假","jia",,,,1185
"价","jia",,,,1187
"架","jia",,,,1188
"驾","jia",,,,1189
"嫁","jia",,,,1190
"歼","jian",,,,1191
"坚","jian",,,,1193
"尖","jian",,,,1194
"笺","jian",,,,1195
"间","jian",,,,1196
"煎","jian",,,,1197
"兼","jian",,,,1198
"艰","jian",,,,1200
"奸","jian",,,,1201
"缄","jian",,,,1202
"茧","jian",,,,1203
"检","jian",,,,1204
"柬","jian",,,,1205
"硷","jian",,,,1207
"拣","jian",,,,1208
"捡","jian",,,,1209
"简","jian",,,,1210
"俭","jian",,,,1211
"剪","jian",,,,1212
"荐","jian",,,,1214
"槛","jian","kan",,,1215
"鉴","jian",,,,1216
"践","jian",,,,1217
"贱","jian",,,,1218
"键","jian",,,,1220
"箭","jian",,,,1221
"件","jian",,,,1222
"健","jian",,,,1223
"舰","jian",,,,1224
"剑","jian",,,,1225
"饯","jian",,,,1226
"渐","jian",,,,1227
"涧","jian",,,,1229
"建","jian",,,,1230
"僵","jiang",,,,1231
"姜","jiang",,,,1232
"将","jiang","qiang",,,1233
"浆","jiang",,,,1234
"疆","jiang",,,,1236
"蒋","jiang",,,,1237
"桨","jiang",,,,1238
"奖","jiang",,,,1239
"讲","jiang",,,,1240
"匠","jiang",,,,1241
"降","jiang","xiang",,,1243
"蕉","jiao",,,,1244
"椒","jiao",,,,1245
"礁","jiao",,,,1246
"焦","jiao",,,,1247
"胶","jiao",,,,1248
"郊","jiao",,,,1250
"浇","jiao",,,,1251
"骄","jiao",,,,1252
"娇","jiao",,,,1253
"嚼","jiao","jue",,,1254
"搅","jiao",,,,1255
"矫","jiao",,,,1257
"侥","jiao",,,,1258
"脚","jiao",,,,1259
"狡","jiao",,,,1260
"角","jiao",,,,1261
"饺","jiao",,,,1262
"绞","jiao",,,,1264
"剿","jiao","chao",,,1265
"教","jiao",,,,1266
"酵","jiao",,,,1267
"轿","jiao",,,,1268
"较","jiao",,,,1269
"窖","jiao",,,,1271
"揭","jie",,,,1272
"接","jie",,,,1273
"皆","jie",,,,1274
"秸","jie",,,,1275
"阶","jie",,,,1277
"截","jie",,,,1278
"劫","jie",,,,1279
"节","jie",,,,1280
"桔","jie",,,,1281
"杰","jie",,,,1282
"睫","jie",,,,1284
"竭","jie",,,,1285
"洁","jie",,,,1286
"结","jie",,,,1287
"解","jie",,,,1288
"戒","jie",,,,1290
"藉","jie","ji",,,1291
"芥","jie","gai",,,1292
"界","jie",,,,1293
"借","jie",,,,1294
"疥","jie",,,,1296
"诫","jie",,,,1297
"届","jie",,,,1298
"巾","jin",,,,1299
"筋","jin",,,,1300
"金","jin",,,,1302
"今","jin",,,,1303
"津","jin",,,,1304
"襟","jin",,,,1305
"紧","jin",,,,1306
"锦","jin",,,,1307
"谨","jin",,,,1309
"进","jin",,,,1310
"靳","jin",,,,1311
"晋","jin",,,,1312
"禁","jin",,,,1313
"烬","jin",,,,1315
"浸","jin",,,,1316
"尽","jin",,,,1317
"劲","jin",,,,1318
"荆","jing",,,,1319
"茎","jing",,,,1321
"睛","jing",,,,1322
"晶","jing",,,,1323
"鲸","jing",,,,1324
"京","jing",,,,1325
"惊","jing",,,,1326
"粳","jing",,,,1328
"经","jing",,,,1329
"井","jing",,,,1330
"警","jing",,,,1331
"景","jing",,,,1332
"颈","jing",,,,1333
"静","jing",,,,1334
"境","jing",,,,1335
"敬","jing",,,,1336
"镜","jing",,,,1337
"径","jing",,,,1338
"痉","jing",,,,1339
"竟","jing",,,,1341
"竞","jing",,,,1342
"净","jing",,,,1343
"炯","jiong",,,,1344
"窘","jiong",,,,1345
"究","jiu",,,,1347
"纠","jiu",,,,1348
"玖","jiu",,,,1349
"韭","jiu",,,,1350
"久","jiu",,,,1351
"灸","jiu",,,,1352
